Trade Date,Instrument,Symbol,Expiry Date,Open Price,High Price,Low Price,Close Price,Daily Settlement Price,Open Interest(OI),No. of Contracts,Turnover ( Rs.)
29-Nov-19,FUTENR,BRCRUDE,30-12-2019,4522,4532,4510,4512,4571,3,9,0.41
28-Nov-19,FUTENR,BRCRUDE,29-11-2019,4561,4577,4533,4533,4557,7,7,0.32
26-Nov-19,FUTENR,BRCRUDE,29-11-2019,4565,4565,4557,4564,4574,7,4,0.18
25-Nov-19,FUTENR,BRCRUDE,29-11-2019,4560,4560,4559,4559,4548,7,2,0.09
22-Nov-19,FUTENR,BRCRUDE,29-11-2019,4578,4580,4578,4580,4606,7,2,0.09
20-Nov-19,FUTENR,BRCRUDE,29-11-2019,4406,4406,4406,4406,4390,8,10,0.44
19-Nov-19,FUTENR,BRCRUDE,29-11-2019,4475,4485,4417,4417,4459,18,47,2.09
18-Nov-19,FUTENR,BRCRUDE,29-11-2019,4494,4495,4493,4495,4548,18,20,0.9
15-Nov-19,FUTENR,BRCRUDE,29-11-2019,4486,4492,4479,4479,4459,10,22,0.99
14-Nov-19,FUTENR,BRCRUDE,29-11-2019,4527,4527,4527,4527,4558,20,2,0.09
13-Nov-19,FUTENR,BRCRUDE,29-11-2019,4434,4462,4434,4448,4403,20,54,2.4
08-Nov-19,FUTENR,BRCRUDE,29-11-2019,4384,4384,4384,4384,4392,30,10,0.44
06-Nov-19,FUTENR,BRCRUDE,29-11-2019,4477,4477,4477,4477,4466,40,10,0.45
05-Nov-19,FUTENR,BRCRUDE,29-11-2019,4400,4400,4387,4387,4462,30,2,0.09
04-Nov-19,FUTENR,BRCRUDE,29-11-2019,4421,4429,4421,4426,4440,30,36,1.59
31-Oct-19,FUTENR,BRCRUDE,31-10-2019,4313,4321,4313,4321,4261,5,3,0.13
30-Oct-19,FUTENR,BRCRUDE,31-10-2019,4361,4361,4350,4350,4378,5,40,1.74
25-Oct-19,FUTENR,BRCRUDE,31-10-2019,4355,4357,4355,4357,4379,20,2,0.09
24-Oct-19,FUTENR,BRCRUDE,31-10-2019,4306,4349,4304,4340,4339,20,29,1.26
23-Oct-19,FUTENR,BRCRUDE,31-10-2019,4213,4213,4212,4212,4209,3,2,0.08
22-Oct-19,FUTENR,BRCRUDE,31-10-2019,4199,4199,4196,4196,4208,3,2,0.08
17-Oct-19,FUTENR,BRCRUDE,31-10-2019,4209,4209,4180,4192,4231,3,4,0.17
